name,plz
Berlin,10178
Hamburg,20038
München,80313
Köln,50667
Frankfurt am Main,60311
Stuttgart,70173
Düsseldorf,40213
Leipzig,04109
Dortmund,44135
Essen,45121
Bremen,28195
Dresden,01067
Hannover,30159
Nürnberg,90403
Duisburg,47051
Bochum,44787
Wuppertal,42275
Bielefeld,33602
Bonn,53111
Münster,48143
Mannheim,68159
Karlsruhe,76133
Augsburg,86150
Wiesbaden,65183
Mönchengladbach,41061
Gelsenkirchen,45879
Aachen,52058
Braunschweig,38100
Kiel,24103
Chemnitz,09111
Halle (Saale),06108
Magdeburg,39104
Freiburg im Breisgau,79098
Krefeld,47798
Mainz,55116
Lübeck,23539
Erfurt,99084
Oberhausen,46045
Rostock,18055
Kassel,34117
Hagen,58095
Potsdam,14469
Saarbrücken,66111
Hamm,59065
Ludwigshafen am Rhein,67059
Mülheim an der Ruhr,45468
Oldenburg (Oldenburg),26105
Osnabrück,49074
Leverkusen,51373
Darmstadt,64283
Heidelberg,69117
Solingen,42651
Herne,44623
Regensburg,93019
Neuss,41460
Paderborn,33104
Ingolstadt,85049
Offenbach am Main,63065
Fürth,90744
Ulm,89073
Würzburg,97070
Heilbronn,74072
Pforzheim,75175
Wolfsburg,38440
Bottrop,46236
Göttingen,37083
Reutlingen,72764
Koblenz,56068
Erlangen,91051
Bremerhaven,27576
Remscheid,42853
Bergisch Gladbach,51465
Recklinghausen,45657
Trier,54290
Jena,07743
Moers,47441
Salzgitter,38226
Siegen,57072
Gütersloh,33330
Hildesheim,31134
Kaiserslautern,67657
Hanau,63450
Cottbus/Chóśebuz,03046
Schwerin,19053
Witten,58452
Ludwigsburg,71638
Esslingen am Neckar,73728
Tübingen,72070
Iserlohn,58636
Düren,52349
Gera,07545
Gießen,35390
Flensburg,24937
Zwickau,08056
Villingen-Schwenningen,78050
Ratingen,40878
Lünen,44532
Konstanz,78462
Worms,67547
Marl,45772
Minden,32423
Velbert,42551
Norderstedt,22846
Neumünster,24534
Dessau-Roßlau,06844
Bamberg,96031
Viersen,41747
Delmenhorst,27749
Rheine,48431
Marburg,35037
Lüneburg,21335
Gladbeck,45964
Troisdorf,53840
Wilhelmshaven,26382
Dorsten,46284
Detmold,32756
Bayreuth,95410
Arnsberg,59759
Landshut,84028
Castrop-Rauxel,44575
Brandenburg an der Havel,14770
Aschaffenburg,63701
Lüdenscheid,58507
Bocholt,46395
Celle,29221
Kempten (Allgäu),87435
Fulda,36037
Aalen,73430
Lippstadt,59555
Dinslaken,46535
Herford,32052
Kerpen,50171
Rüsselsheim am Main,65428
Weimar,99423
Neuwied,56564
Dormagen,41539
Sindelfingen,71063
Grevenbroich,41515
Rosenheim,83013
Plauen,08523
Neubrandenburg,17033
Herten,45699
Bergheim,50126
Friedrichshafen,88045
Schwäbisch Gmünd,73525
Offenburg,77652
Garbsen,30823
Wesel,46483
Hürth,50354
Neu-Ulm,89210
Greifswald,17489
Langenfeld (Rheinland),40764
Stralsund,18439
Unna,59423
Euskirchen,53879
Göppingen,73033
Hameln,31785
Meerbusch,40670
Frankfurt (Oder),15230
Stolberg (Rhld.),52222
Eschweiler,52249
Lingen (Ems),49808
Sankt Augustin,53757
Baden-Baden,76530
Waiblingen,71332
Görlitz,02826
Hilden,40721
Pulheim,50259
Langenhagen,30853
Nordhorn,48529
Bad Homburg v. d. Höhe,61343
Bad Salzuflen,32105
Hattingen,45525
Schweinfurt,97420
Neustadt an der Weinstraße,67433
Passau,94030
Wetzlar,35578
Ahlen,59227
Kleve,47533
Frechen,50226
Menden (Sauerland),58706
Wolfenbüttel,38300
Ibbenbüren,49477
Bad Kreuznach,55545
Gummersbach,51643
Ravensburg,88212
Speyer,67346
Böblingen,71032
Peine,31224
Rastatt,76437
Elmshorn,25335
Willich,47877
Goslar,38640
Erftstadt,50374
Emden,26721
Lörrach,79539
Heidenheim an der Brenz,89522
Gronau (Westf.),48599
Leonberg,71229
